,tag,title,comment,src
43,태그없음,전애인이 찍어준 거 같은 사진이 프사 히스토리에 남아있어서 신경쓰이는데 내가 예민해?,묻지마 모르는게 나아,인티
44,태그없음,애인 분리불안있는 ₩청자₩ 있어?,헐 나 예전에 그랬어ㅠㅠ 난 심지어 같이 살았는데도 내가 집에만 있으니까 하루가 길고 힘들었는데 나도 외출하고 바빠지니까 괜찮더라,인티
45,잡담,와이프가 요즘 동물의숲에 빠져버리더니ㅜㅜ,아니 왜 중고에 내놔ㅋㅋ,펨코
46,태그없음,나 번호 준 사람이랑 만나러 간당!,우앙 부러워 잘만나구왕,인티
47,태그없음,아까 애인 너무 더럽다는 ₩화자₩인데 카톡으로 말하려하거든 기분나쁘려나,아니 충분히 말할 수 있는 거라고 생각해,인티
48,연애중,애인이 말하는데 어쩌라는 거지라는 생각들면 끝내야 되나,₩화자₩가 애인을 별로 안 좋아한다  ₩화자₩ 마음에 지금 여유가 없다  성격이 안 맞는다 등등의 이유일듯,인티
49,잡담,연애 못하는 부류와 연애 잘하는 부류,아이고 누가 뼈 때리냐,펨코
50,질문,결혼식장 정보는 어디서 찾음?,웨딩플래너 아니면 네이버카페,펨코
51,태그없음,내 전애인들 나랑 헤어지면 한두달만에 딴사람 사귐,나도 솔로인 텀 길다가 나 만난 애들도 다 그러더라ㅋㅋㅋㅋㅋㅋㅋㅋ너무 웃김 4명이 그랬었음,인티
52,잡담,4인용 식탁을 샀음,4인분 차려서 혼자 다 먹을 수 있겠네,펨코
53,태그없음,친구 없는 애인 별로야?,개조아,인티
54,태그없음,서운해서 잠오는 척 했는데 다시 잠안온다고 하면 웃겨?,그냥 계속 연락 하면 잠 안 오는갑다 할거같은데,인티
55,태그없음,회피형VS불안형 둘중 하나를 꼭 사귀어야한다면?,불안형,인티
56,태그없음,피부 관리해도 안잡히는 사람 있어?,약먹어도 안되는 사람도 있어!,인티
57,잡담,"화장 때문에 불타지만,,, 선크림은 바르는게 좋음",실내에만 있어도 발라야함,펨코
58,잡담,헤어진지 5일차 아무것도 안 하고 돈만  쓰고 있음,이번달 카드값 250만원나옴 ㅋㅋㅋ,펨코
59,태그없음,신혼은 몇년차까지야???,2년이라고 들은것 같음,인티
60,이별,지긋지긋했던 6년간의 연애와 이별,앞으로는 예쁘고 건강한 연애 많이 하십쇼!,펨코
61,이별,2년 가까이 만난 사람 4개월 지나도 기억할까,서로 정말 진심으로 사랑했다면,인티
62,태그없음,썸남 생일 저녁에 약속있다는데 점심에 만난다 VS 다음날만난다,집이머니까 다음날,인티
63,태그없음,애인 첫차 생기는데 뭐 주면 좋을까?,나는 차량용 미니 청소기 갖고 싶어 곧 사려고 벼르는 중,인티
64,잡담,먼가 가볍게 짝사랑정도했는데,썸인데 연인에게 하듯이하면 그꼴남,펨코
65,태그없음,난 진짜 유머코드가 중요하다고 생각ㅠ,나도 진짜 제일 중요해 대화 좋아해서 티키타카 안 되면 재미가 없더라,인티
66,태그없음,애인이 잘생겼는데 내 눈엔 평범해보이는 사람 있어?,너 이상형은 뭐야???,인티
67,태그없음,연애는 어디서 하냐,여대는 소개팅 많이 들어오지 않나?,인티
68,태그없음,아 간만에 연락하는 남자생겼는데 키가작네,몇인데?,인티
69,태그없음,남녀가 단둘이 인생네컷찍으면 호감일 확률높아?,이런글 오늘 많이 보이네 난 일단 호감없는 이성이랑은 단 둘이 그런거 안 찍긴함,인티
70,잡담,왜 어머니에게만 만사가 다 귀찮고 신경질적이게 되는지 모르겠습니다,조언이 있나요? 본인이 바뀌어야하는걸,펨코
71,잡담,짝사랑을 접으니까 보여요,주변사람이 더중요한걸 잊지말길,펨코
72,잡담,4개월간 짝사랑 했는데 이제 맘 접을때가 된 듯 하다,수고했어,펨코
73,이별,이별 후엔 무언가에 집중을 하는게 맞는 듯,화이팅입니다!!,펨코
74,이별,재회가능성 없겠지?,헤어진 지 얼마나 됐어??,인티
75,태그없음,ㅎㅎ 결국 까였다,얼마나 안읽었는데??,인티
76,잡담,존박이랑 이준석 닮았더 하는건,인텔리같이 생기신듯,펨코
77,썸,짜증나서 읽씹 했는데 연락 안오면 자연스레 썸붕이지??,안오면 썸붕,인티
78,연애중,애인이 싸우고 안 풀려고 해,자기감정에 충실하고 싶은거야,인티
79,태그없음,내 짝남이 소개팅을 자주 해ㅠ,상대 연애하고싶은가본데 들이대봐 ㅋㅋ,인티
80,태그없음,애인 아파도 약속은 나가지?,당연히 나감,인티
81,질문,통화 할떄 주로 무슨 이야기 해요?,오늘뭐했는지 창밖풍경보고 별자리상태보고 보고싶다고 징징,펨코
82,태그없음,대실 8시간씩해도 좋아??,난 지루해서 중간에 뛰쳐나감 ,인티
83,태그없음,다좋은데 타투 있으면 어때?,이레즈미말고 미니타투정도는 괜찮,인티
84,잡담,서로 읽씹 절대안하는 커플있음?,우리도 그럼 ㅋㅋ,펨코
85,질문,내가 좋아하는 사람 VS 나를 좋아하는 사람,고민되는데 그래도 전자,펨코
86,태그없음,1000일 김새는거 정상이야?,원래 챙기기로 한거 아니면 뭐,인티
87,질문,요즘 여친과 자주 싸우는데 어케 해야될까요,사귄지 어느정도 되심?,펨코
88,태그없음,원래 재회하고 만나면 마음 뒤숭생숭해?,원래 뒤숭숭하고 또 다시 헤어지게 될까봐 자동으로 저자세 되던데 나는,인티
89,잡담,거의 9시간만에 답장왔다 ㅋㅋ,솔직히 님보다 다른게 더 관심있다는거 그게 사람이 될수도있고 쉬는게 될수도 있고 ㅇㅇ 솔직히 연락텀에 의미부여 하지마라고 하는데 나는 3시간 넘어가면 관심 없는거라고 생각함,펨코
90,연애중,나도 미녀와 야수 커플인듯,에이 둘 다 선남선녀지,인티
91,연애중,애인이랑 나랑 대학생 커플이긴 한데 애인이 이런 말 종종 하거든,무슨 생각으로 그 말을 한건지는 잘 모르겠다,인티
92,잡담,Esfp가 나 혼잔가,어 나도 진짜 좋아하는 사람 앞에서는 겁나 차분한척하려그럼,펨코
93,연애중,보통 커플이면 크리스마스 이브에 만나 당일에 만나?,걍 케바케 둘다 만나고나 이브만 만나거나 크리스마스만 만나거나,인티
94,태그없음,권태기때문에 차였다가 두달만에 다시 만나고싶다고 연락왔거든,마음 조금이라도 남아있으면 만나보는게 나을수도있을거같아 만약 다시만나서 예전같지않으면 오히려 후련하게 헤어질수있으니,인티
95,태그없음,아무리 친한 사친이라도 이름뒤에 하트는 안붙이지??,이거 난 좀 그래,인티
96,연애중,₩청자₩들아 전화 이런걸로 잘 안맞으면 헤어질만한거 맞을까?,헤어질 이유 충분히 된다구 본당,인티
97,연애중,선물을 주려면 종이가방 같은데 넣어주는 게 기본센스 아니냐,그런가,인티
98,태그없음,근데 다들 진짜 좋으면 상대방 남자 나이 상관 없어?,스무살 중반에뭣모르고 상관없다했는데 이젠 아님 적당히 차이나야지,인티
99,태그없음,ISTJ 원래 애교많고 뻔뻔해?,엇 나같네 그게 잇티제특인지는 몰랐어,인티
100,태그없음,다들 100일은 어떻게 넘김?,"회피형 같은데 자기만의 선이라는 게 확실하면 됨 그걸 벗어나지 않는 단점이면 수용해야지 나를 포함한 모든 사람은 다 단점이 있는건데 ,, 이상 두달 뒤 5년인 사람 ,,",인티
101,연애중,싸웠는데 2일만에 내가 져줌,오래 싸웠구나,인티
102,잡담,좋아하는애 내일 일단 보기로 했는데 뭔 얘기를 해야하지,이미 친한사이인게 독이네 서로 더이상 알아가고 싶은게 궁금한게 없으니 알아가면서 단계를 밟는건데 이미 친한상태에서는 어떻게 해야될지 나도 모르겠다,펨코
103,데이트코스 질문,신촌 근처 벚꽃명소 있을까요,여의도쪽은 추첨으로만 들어간대요,펨코
104,태그없음,짝남 한달에 한번 꼭 잘지내냐 연락옴,근데 신기하다 그냥 진짜 안부를 묻는건가보네,인티
105,태그없음,회피형하고 이별 잘하는법은 뭘까,회피형은 완벽하게 이별하고 지우는게 답이지,인티
106,이별,잊을려면 사진 다 지워야지?ㅠ,나는 생각날까봐 모든 보이는 흔적은 다 없애버렸어,인티
107,질문,소개팅어플로 연락하는데 도대체 무슨 이야기 해야하죠?,걍 아무 잡답으로 시작하는거지,펨코
108,잡담,불꽃축제 재밌다,사람 엄청 많다던데 잘 보임?,펨코
109,태그없음,애인이 다른 이성이랑 스킨십 하는 거 때매 못헤어지겠어,? 다른 이성이랑 스킨십해서 헤어짐을 고려하는게 아니고?,인티
110,태그없음,길가다 대학친구 커플 마주치면 아는척해?,친하면 하고 안 친하면 그냥 지나갈 듯,인티
111,태그없음,관계에 진전은 없지만 날 놓아주지 않고 헷갈리게 하면 어장이야?,어떻게 헷갈리게 하는데?,인티
112,태그없음,여자가 먼저 대시하는 경우가 흔해??,요새는흔한듯,인티
113,잡담,아 신혼여행 짜는데 힘드네,어디감?,펨코
114,태그없음,전애인 못잊고 연애하는 ₩청자₩ 있니,만나면서 잊혀지더라 나는,인티
115,태그없음,연락텀이랑 호감 유무는 확실히 상관 없네,ㅇㅈ 먼저 선약 잡는 거가 호감 유무로 보기 젤 좋은듯함,인티
116,결혼,몇살 때 하고 싶어?,31~32살,인티
117,연애중,난 연애 초의 그 어색함이 젤 설레고 불편함,그 시기에만 느껴볼 수 있는 이상한 감정이지 ㅎㅎ,인티
118,태그없음,헤어졌는데 계속 만나고 서로 좋아해 이게 뭐지?,엔조이가 됐네 갑자기,인티
119,잡담,젓가락질 바르게하면 호감도 상승함,ㅆㅇㅈ 뭐라고 하지는 못하는데 거슬림 1티어,펨코
120,연애중,만약 시댁에서 이렇게 하라고 하면 어떻게 할거야?,"개이득이네 쓸만한건 걍 쓰고 침대나 오래된 가전정도만 바꿀듯,,,",인티
121,태그없음,차단은 아닌거 같은데 안읽씹 심리는 뭘까,걍 읽기도 싫다는 거지 헤어졌는데 뭐 괜히 보면 내가 또 답장해야될 것 같고 생각하기 싫은데 생각해야 돨 것 같고 그냥 아예 끝내고싶은,인티
122,질문,"잘 돼 가고 있는 거 같은데,,,안 좋은 생각이 자꾸 드네요",아님말고 라는 마인드로 나가세요 여유로워야 멋있음,펨코
123,잡담,애기 낳으러 왔어요,아 응애에요,펨코
124,잡담,여자친구 사귀는 거 귀찮음,ㄹㅇ 난줄,펨코
125,질문,썸일때 스킨십 진도같은건 어케 물어봄?,썸인데 그걸 왜 물어보냐고요,펨코
126,태그없음,₩청자₩둘아 후폭풍있자나,마음이 있어야 오지 않을까,인티
127,연애중,ESTJ 원래 이렇게 애교가 많나,내 애인도 완전 대형견이여 ESTJ ㅋㅋ,인티
128,태그없음,MBTI랑 애착유형 적어주고 가,ESFP 불안형,인티
129,잡담,자기 얼굴을 높게 생각하는 사람 많은듯,자아성찰 해야ㅋ,펨코
130,이별,내가 너무 나만생각한걸까 ㅜ,별의미 없을듯 ㅠ,인티
131,잡담,연애하고 살 6키로 찜,정상입니다,펨코
132,연애중,100일 안챙겼다가 00이 원래 기념일은 안챙겨? 소리들음 ㅜ,100일 챙기고 년단위로 챙기는 거 아냐? 그정도는 다들 하니께,인티
133,이별,헤어졌습니다,사정상 결혼식 미루고 혼인신고 먼저하고 애 키우는 사람도 있긴하던데 좋은사람이면 한번 붙잡아보시죠,펨코
134,연애중,다들 크리스마스 때 실내실외 어디서 놀아??,실내 무조건 실내,인티
135,태그없음,애인이 카톡 할 말 없게 보내면 어떻게 해?,난 구냥 읽씹함,인티
136,태그없음,애인 폰을 몰래봤는데 앙톡이 깔려있었어,"헉 ,,",인티
137,태그없음,애인이 유튜브 SHORT에 뜨는 치어리더 보는것도 싫어??,그냥 떠서 보는건가,인티
138,연애중,애인 단점만 보여,헤어지는게 낫지ㅠ,인티
139,썸,다들 썸 탈때 답장 빨리해?,나 오히려 썸 자각못하고 그냥 내할일하고 답장늦게하고 걘 빨리하고 ,인티
140,잡담,어리고 피부 좋은게 최고이긴하네,파부좋은애들 짱부러워,펨코
141,데이트코스 질문,크리스마스 분위기 나는 데이트 코스 어디가 있을깡,사람에 치일텐데,펨코
142,잡담,마음 맞는 이성을 어디서 만날 수 있을까,천운이 따라줘야함 결국은 때가 되면 나타나지 않을까?,펨코
143,질문,별로 좋아하진 않는데 일단 사귀신 분들 계셨나요?,끝까지 감정안생기더라,펨코
144,이별,아 전 애인이 나오라는 거 괜히 거절했나,둘이 보는 것도 아니고 다같이 있는데 불러내는 건 너무 별로다 ㅠㅠ 안그래도 심란할 텐데 ㅠㅠㅠ 힘내 ₩화자₩야,인티
145,태그없음,보통 애인 팔로워 목록에 야한 계정 있으면 삭제하라고하니?,아니 정 떨어져서 헤어지는데,인티
146,이별,사랑이 뭐라고 너무 스트레스다,진짜 사랑이라는 거 비효율적이야,인티
147,태그없음,신혼집으로 원룸도 괜찮지 않냐는거 어떻게 생각해?,걍 능력 안되니까 하는말이지,인티
148,질문,동거하는 여자친구 꽃 선물 주려는데 집에서 주면 감동이 덜 하려나요?,오히려 좋지 않나,펨코
149,잡담,요즘 일에 더 열중하게됨,만나보면 그래도 사람이 좋을꺼임,펨코
150,태그없음,ISTP 짝사랑 중인데 너무 힘들다,상대 성별이 모야,인티
151,태그없음,같이 하는 게임이 있는데 못한다고 자꾸 뭐라해,게임 끝내고 따로 둘이 대화로 풀어,인티
152,잡담,이거 좀 더 대쉬해도 괜찮을까요??,못먹어도 고,펨코
153,이별,장기연애 이별 했는데 왜이렇게 남은 게 없는 기분이지?,장기연애의 끝은 먹은나이야,인티
154,태그없음,다들 애인이랑 방귀 어떻게 텄어??,안 텄어,인티
155,짝,외모보고 폴인럽했다가 성격땜에 식는경우 많나?,그런 적 있음,인티
156,태그없음,찐친들 만나서 술 마실때마다 연락하는 심리가 뭘까?,술 마시고 ₩화자₩ 얘기한거 같은데,인티
157,연애중,변한게 아니라 원래대로 돌아가는 중이다 라는 말 어떻게 생각해??,상대한테 맞춰주다가 지친거지,인티
158,태그없음,연애하는거 안귀찮아?,귀찮아,인티
159,태그없음,애인 폰 안보는ㄷ게 약이란 말이 있잖아,일단 믿어야지ㅠㅠ,인티
160,잡담,탐색 단계에서 톡 답장 시간은 크게 의미 없음,맞음 연락은 잘되다가 만나서 빠그라진거 많음 ㅋㅋㅋ,펨코
161,태그없음,나 완전 방구쟁이인데 1박할 때 어쩌지,귀여울거 같은데,인티
162,태그없음,여자들이 보통 호불호없이 좋아하는 남자 어떤 남자야,요즘은 착하고 다정한 남자가 1순위 아닌가,인티
163,태그없음,나 이제 드디어 잊을 수 있을거같아,고생 많았어,인티
164,태그없음,기념일 안챙기는 ₩청자₩있어?,우리 00단위는 넘어가,인티
165,태그없음,너네 안 사랑하면 사랑한다는 말 못 해?,안나오긴 하던데,인티
166,잡담,애프터?잡혔따,썸 시작 아인교?,펨코
167,연애중,외박 안되는 장거리 연애는 힘들까?,ㅠㅠ힘들기야 하겠다,인티
168,연애중,사귄지 2주됐는데 너무 바빠서 외롭게 만드는 애인 이해해줘야해?,웅 바쁜 걸 우째,인티
169,태그없음,나진짜 어떡해애인을 아이돌 덕질할때랑 똑같은 마음느낌,행복해서 다행이당 ,인티
170,잡담,아 내일 발렌타인데이였구나,난 내일 썸녀 만나러 가는데 줘야하나?,펨코
171,기타,여자₩청자₩들 있어?? 결혼 관련,난 없는데 내 친구 있어 걔 진짜 이상한 사람 잡다한 사람 다 꼬이던 애긴 해,인티
172,태그없음,나 처음으로 사랑꾼 만나봤거든? 근데 좀 신기해,"내 말이, 약간 나보다 날 더 사랑하는 거 같은? 내가 이렇게 사랑받을만한 존재인가 가끔 생각 들게 하더라고",인티
173,잡담,평소연락하던 지인이 청첩장안주면 어케함,걍 연락 안할듯 지인이면 뭐 ㅋㅋ 친구도 아닌데,펨코
174,이별,이제 진짜 끝인가봐,나는 스토리도 비공개 해놧더라ㅎㅎ 우리 행복하자! 갓생 살아보자!!,인티
175,잡담,더치페이 이슈 될때마다 걱정 안되는 이유,돈이 많으면 걱정이 안된다!!,펨코
176,이별,나도 4년이상으로 헤어져서 시간좀 많이 지났는데ㅎㅎ,힘내 더 좋은 인연오겠지ㅇㅇ,펨코
177,이별,전애인이 앞으로 계속 볼 사이니까 인사라도 했으면 좋겠다고 한번 만나쟤,완전 있어보임,인티
178,태그없음,연애할때 보통 뭐 때문에 싸우지?,다양하지? 연락문제 이성문제 등등,인티
179,잡담,클럽이나 헌포 안가보신분들 많은가요?,한번도 안가봄 인생 통틀어서,펨코
180,잡담,고백 실패하지 않는 비결,내가 너 좋아하면 안되냐?,펨코
181,잡담,아빠 폰 찾아준 사람 연락해볼까?ㅋㅋㅋ,밑져야 본전,펨코
182,태그없음,바람도 머리 좋아야 피더라,머리보다 부지런해야피는것같음ㅋㅋㅋㅋㅋ,인티
183,태그없음,설레게 생긴 남자 얼굴 특징,잘생김,인티
184,연애중,ISFP랑 잘 맞는 엠비티아이 뭘까??,내주변에 많은데 난 잘맞던뎅 나 엔프피,인티
185,태그없음,남자랑 여자 운명 같음?,이래도 헤어지면 끝이지 뭐,인티
186,질문,가다실에 대한 남자들 생각?,그게 뭐에영 ?,펨코
187,잡담,나 근데 신기한게 알바하면 여사친 만들수 있다던데,힘든곳에 잘안오지,펨코
188,잡담,내연애에 관심이 없다;,그러다 우연찮게 이쁜여자만나면 사귀고싶은건 국룰,펨코
189,잡담,나는 전생에 잠만보였을거야,이번 생은 달라져보자,펨코
190,태그없음,ENTP 왜이렇게 인식이 안좋아?,나르시시스트라서,인티
191,잡담,이성앞에서 자신감 갖는게 어렵네,친구 대하듯이 대하자 남자,펨코
192,질문,소개팅에서 연애 몇번했는지 물어보기도함?,소개팅하면서 단한번도 그런 질문 못들어봄,펨코
193,연애중,"3개월 만났는데 3년 만난 바이브야,,,,,,",방탈출이나 어디 여행같은데 갔다와바,인티
194,연애중,알고보니 본인이 애인 첫애인이었다면 어떨 것 같아??,어웅 오히려 좋아 너무좋아,인티
195,잡담,참 사람 앞길은 어찌될지 모르는거네,내친구중에도 나 결혼할수 있을까 하던 애가 젤 빨리 감 ㅋㅋㅋ,펨코
196,태그없음,애인 친구 간단한 선물 추천좀,처음 만나는데 선물을 왜줘? 굳이 싶다,인티
197,잡담,외모성격몸매 등등 중에서,오른쪽 삼각근의 분리도를 중요하게 보는편,펨코
198,태그없음,인스타 팔로잉 나만 좀 신경쓰여?,헐 나도 요즘 이거땜에 스트레스,인티
199,연애중,표현 많이 해주는 사람 최고다,ㅇㅈ 표현 잘해주는 남자 최고,인티
200,태그없음,애인 아버님이 바람 피셨대,바람은 유전이래,인티
201,연애중,애인이 가족 약속 생기면 자꾸 내 약속을 파토내,나도 가족 지독하게 챙기는 타입인데 자주 저러는 건 너무하다 아예 ₩화자₩를 후순위로 보는 거 같은데,인티
202,태그없음,믿음없고 신뢰깨진 연애 진짜 최악이구나,ㄹㅇ 얼른 접는 게 조음,인티
203,태그없음,썸남한테 선물 주는거 부담일까,너무 비싼 거 말고 저렴한거면 괜찮을 듯?,인티
204,잡담,꿈에 자꾸 나와서 미칠것같네요 ㅋㅋㅋㅋ,오히려 좋아,펨코
205,잡담,내가 극장 가는걸 좋아하거든,동호회 가면 있지 않으려나,펨코
206,태그없음,진짜 그냥 찐사친 만드려고 앱 하는 사람이 있을까??,응 나이많아도 사친 만들려는 사람 많아,인티
207,태그없음,보통 답장 텀 어느정도야?,거의 10~30분!,인티
208,기타,인스스 스토리 보고 기록지우기 해본₩청자₩ 있어? 그거 진짜 돼?,부계로 보고 차단하는건 해봤엉 근데 맞팔상태에서 차단하면 팔로우끊겨서티나니까 부계정으로 해야돼,인티
209,잡담,여자친구가 담배 피면은,충분히 충격일 수 있죠 담배 피는것같은 행동을 안보였으면 더더욱,펨코
210,잡담,2주 시간 가지자 한 후 4일됨,2주시간 가지자고했는데 왜 1주에 결정하려고함?,펨코
211,이별,이거 이별이란게 적응이 안대네,원래 그래,펨코
212,태그없음,애인이랑 문자할 때보다 만났을 때가 더 좋아,문자할때 더 좋으면 그게 이상한 거 아닐까ㅋㅋㅋ,인티
213,태그없음,찔러보는건지 좋아하는건지 어떻게 구분해??,헷갈리지 않지 진심이면,인티
214,잡담,연애가 아니라 자동차 있는 거 너무 부럽다,몇백짜리 중고차도 있잖아,펨코
215,연애중,애인이랑 케이스 같이 사려고 하는데 혼자 보고 결제하면 좀 그렇지?,근데 그렇게 말했으면 그냥 너 소신껏 골라도 될거같애 남자들 케이스 별 신경안쓰더라고,인티
216,태그없음,ISTJ들아! 관심있으면 연락할때 어떻게해?,난 티남,인티
217,잡담,사람은 실패에서 배운다,시즌 3452번째 교훈,펨코
218,태그없음,헤어지고 얼마나 지나야 완전히 잊을까,전애인보다 더 좋아하는 사람 만나지 않는 이상 잊기 힘들더라 난,인티
219,잡담,얘들아 나 너무 행복해,오메데토!,펨코
220,태그없음,애인이 민소매 입는거 싫어하면 굳이 안입을거야?,ㄴㄴ내가 입든말든 뭔상관,인티
221,태그없음,차이는거 되게 자존감 떨어지게 된다,너는 잘못한거 없어,인티
222,잡담,36살 아재 연애 시작함,여자맘 2주도 못갈수있여서 한달되면 전세 고고연,펨코
223,태그없음,애인 친구들하고 술 마시러 간다고 연락하고 톡한다더니 읽씹하네,내 애인이랑 똑같네,인티
224,이별,헤어지고 20일,괜찮아 괜찮아,펨코
225,태그없음,애인이 부모님한테 보여준다고 돈 좀 빌려달래,안보내줄꺼지?그치?,인티
226,잡담,"사랑도, 결혼도 타이밍이라는말이 진짜 맞는 말인것같다",인생 자체가 타이밍이고 운빨임,펨코
227,태그없음,친구가 이별에 너무 힘들어하는데 옆에서 뭘 해줘야할까?,그냥 평소처럼 있어줘 막 옆에서 어떻게 해주려고 하지 말구혼자서 그 상황을 이겨내고 나올때까지 기다려줘,인티
228,태그없음,촉이온다 촉이 와,난 그냥 자는갑다 하고 연락올 때까지 기다려!,인티
229,잡담,이루다 재밌네,루다같은 사람이 나한테 카톡해줬음좋겟다,펨코
230,태그없음,동갑내기랑 연애하는 ₩청자₩들!! 장점 하나씩 적고 가줘ㅎㅎ,티키타카 잘맞고 친구같은데 설레서 좋아,인티
231,태그없음,물어보는거에 대답하는거 싫어하는 사람있어?,그러면 설렌다고 생각해서 그러는건가?,인티
232,이별,전남친이 자꾸 쳐다봐요,저렇게 티날정도로 계속 쳐다보면 마음이 있는거 같아요 제 생각엔,펨코
233,태그없음,혹시 애인이 일하는날 랜덤인 ₩청자₩들 있니?,내가 그런 직업인데 못놀러가 솔직히ㅠㅠ,인티
234,태그없음,20대 중후반쯤 되면 가볍게 만나는 사람은 드문가?,그나이쯤 되면 이제ㅐ 그넘 이 그넘이더라,인티
235,태그없음,빡세게 생겼다라는 말,깐깐?,인티
236,잡담,우리 학과만 친목 고인물인게 특이케이스인가?,우리과가 진짜심해서 중앙동아리로 도망쳤음,펨코
237,잡담,형들 친구 채권 문제로 친구 전여친한테 연락하는거 오바인가?,안될거 있나,펨코
